aX,aY,aZ,gX,gY,gZ
0.109,0.272,-0.173,-9.521,-28.870,-18.677
0.128,0.350,-0.285,0.977,-32.166,-19.897
0.107,0.448,-0.370,14.160,-35.706,-18.127
0.092,0.500,-0.429,31.799,-33.020,-15.259
0.087,0.469,-0.422,54.077,-24.475,-10.803
0.099,0.352,-0.309,74.463,-11.292,-4.639
0.103,0.213,-0.165,87.097,7.446,-1.343
0.091,0.089,0.026,91.248,30.945,-1.221
0.042,-0.028,0.275,91.370,56.641,-2.258
0.027,-0.126,0.509,91.736,82.397,-5.859
0.033,-0.172,0.772,92.896,96.497,-14.465
0.051,-0.109,0.905,92.773,97.046,-21.484
0.121,-0.016,0.928,91.125,88.501,-23.926
0.198,0.042,0.927,87.585,80.750,-21.423
0.232,0.065,0.993,83.130,77.698,-14.587
0.205,0.004,1.114,79.712,80.994,-5.066
0.179,-0.047,1.255,73.853,88.135,0.671
0.165,-0.039,1.334,67.383,93.628,0.732
0.113,-0.095,1.426,68.665,95.093,-0.549
0.091,-0.159,1.488,73.669,96.558,-0.427
0.101,-0.208,1.528,76.782,100.403,-1.526
0.152,-0.209,1.584,75.806,107.544,-4.700
0.238,-0.161,1.609,71.960,115.417,-8.301
0.287,-0.131,1.667,67.749,120.117,-6.348
0.625,-0.152,1.724,66.284,122.131,-2.808
0.315,0.144,1.993,59.082,88.989,9.216
0.405,-0.173,1.970,53.955,57.617,26.489
0.298,-0.378,1.971,64.148,65.125,9.705
0.204,-0.373,2.048,69.580,68.298,2.930
0.308,-0.477,2.239,65.247,48.340,3.540
0.130,-0.555,2.435,57.312,30.579,19.592
0.083,-0.687,2.491,46.387,25.024,20.935
0.073,-0.694,2.592,37.476,26.550,11.719
0.057,-0.690,2.714,30.212,6.348,13.123
0.038,-0.836,2.774,22.095,-14.893,14.160
-0.013,-0.950,2.804,14.832,-27.222,10.986
-0.125,-1.013,2.750,7.141,-40.588,7.385
-0.196,-1.130,2.672,0.671,-52.734,-0.671
-0.167,-1.274,2.639,-4.822,-59.875,-9.521
-0.404,-1.361,2.534,-13.306,-65.125,-15.808
-0.365,-1.454,2.330,-25.635,-62.561,-27.527
-0.471,-1.595,2.260,-35.156,-57.312,-43.640
-0.544,-1.707,2.187,-41.443,-52.063,-60.303
-0.518,-1.784,2.067,-46.997,-53.101,-80.627
-0.535,-1.839,1.970,-48.889,-54.810,-98.938
-0.541,-1.876,1.947,-46.326,-54.810,-112.671
-0.574,-1.911,1.840,-49.500,-64.148,-125.122
-0.563,-1.926,1.672,-54.565,-73.486,-139.771
-0.581,-1.936,1.585,-57.251,-75.745,-156.006
-0.499,-1.916,1.517,-58.655,-70.251,-175.903
-0.398,-1.766,1.459,-56.885,-69.641,-201.599
-0.324,-1.681,1.504,-48.523,-80.322,-224.060
-0.188,-1.558,1.506,-36.987,-94.055,-243.652
-0.026,-1.386,1.469,-28.076,-109.375,-260.071
0.068,-1.266,1.446,-25.696,-122.742,-271.301
0.099,-1.228,1.420,-22.156,-128.784,-280.029
0.218,-1.124,1.291,-9.338,-134.521,-291.565
0.445,-0.916,1.130,3.235,-143.311,-300.720
0.614,-0.713,0.925,6.165,-141.174,-295.410
0.742,-0.584,0.723,0.427,-123.840,-279.480
0.870,-0.434,0.540,-9.644,-100.525,-261.780
1.001,-0.245,0.374,-19.714,-78.125,-245.911
1.061,-0.168,0.237,-22.095,-60.059,-232.178
1.110,-0.119,0.089,-18.860,-45.715,-223.938
1.174,-0.019,-0.021,-13.611,-38.757,-222.046
1.307,0.017,-0.030,-3.052,-35.156,-224.243
1.482,0.231,-0.044,13.855,-34.241,-231.445
1.697,0.493,0.050,29.419,-37.842,-228.455
1.864,0.617,0.113,33.691,-34.912,-204.529
