aX,aY,aZ,gX,gY,gZ
-0.170,-0.578,0.973,-7.202,6.226,11.230
-0.178,-0.660,1.009,-6.958,6.836,8.118
-0.162,-0.767,1.040,-6.836,7.263,7.874
-0.161,-0.888,1.076,-7.141,6.775,9.521
-0.155,-0.986,1.087,-6.775,6.042,8.789
-0.167,-1.069,1.093,-5.127,5.737,4.272
-0.217,-1.160,1.111,-1.038,5.066,-2.441
-0.221,-1.280,1.162,2.808,0.488,-11.841
-0.240,-1.415,1.203,3.906,-5.554,-23.804
-0.210,-1.534,1.235,2.502,-7.629,-37.659
-0.193,-1.640,1.251,-0.061,-7.996,-53.223
-0.165,-1.623,1.257,-3.662,-6.165,-70.557
-0.183,-1.649,1.270,-4.456,-4.456,-85.938
-0.163,-1.658,1.260,-6.775,-3.662,-104.004
-0.138,-1.619,1.249,-10.986,-3.723,-121.765
-0.129,-1.585,1.247,-15.442,-4.517,-138.245
-0.130,-1.591,1.242,-21.301,-5.920,-153.748
-0.123,-1.573,1.212,-30.090,-6.958,-170.105
-0.108,-1.524,1.165,-38.879,-8.179,-188.171
-0.114,-1.474,1.122,-43.579,-11.230,-206.848
-0.111,-1.394,1.070,-42.236,-16.113,-225.342
-0.051,-1.319,0.999,-36.621,-22.156,-244.324
0.007,-1.251,0.950,-28.748,-28.809,-264.343
0.074,-1.155,0.901,-20.935,-34.302,-284.241
0.171,-1.008,0.844,-15.320,-34.363,-302.246
0.280,-0.875,0.797,-10.559,-32.654,-318.542
0.370,-0.745,0.772,-6.531,-29.419,-331.665
0.499,-0.599,0.722,-3.662,-26.367,-342.041
0.721,-0.430,0.663,-0.671,-24.048,-349.426
0.981,-0.217,0.676,5.249,-22.095,-350.464
1.097,-0.021,0.800,13.733,-18.433,-343.811
1.132,0.136,0.877,12.085,-12.390,-334.778
1.199,0.303,0.788,-3.418,-11.108,-325.256
1.374,0.501,0.604,-18.005,-12.939,-317.383
1.516,0.718,0.528,-16.724,-15.442,-309.143
1.607,0.993,0.539,-4.883,-21.545,-297.424
1.795,1.314,0.634,7.080,-22.217,-280.090
1.995,1.581,0.769,14.526,-17.944,-256.897
2.057,1.775,0.899,13.855,-14.832,-230.835
2.087,1.971,0.879,3.418,-6.836,-205.200
2.133,2.168,0.758,-6.836,4.089,-181.335
2.130,2.313,0.704,-5.432,12.512,-155.945
2.080,2.417,0.667,6.958,15.015,-129.944
2.073,2.512,0.630,24.902,10.071,-106.140
2.087,2.598,0.648,41.260,0.305,-81.360
2.149,2.650,0.745,49.927,-4.456,-52.979
2.114,2.690,0.846,46.082,-1.892,-23.193
1.991,2.702,0.851,31.128,3.967,6.775
1.982,2.637,0.897,13.428,6.348,41.443
1.925,2.493,0.755,-0.061,21.240,71.777
1.867,2.365,0.629,-7.141,30.029,98.816
1.726,2.249,0.658,-6.653,10.864,125.793
1.696,2.092,0.662,1.831,-2.747,150.635
1.622,1.943,0.643,9.583,-10.437,173.645
1.559,1.782,0.626,10.803,-12.878,193.604
1.506,1.603,0.595,5.554,-5.920,212.646
1.448,1.441,0.576,-3.723,4.944,234.375
1.382,1.204,0.606,-14.282,18.555,256.531
1.328,0.934,0.648,-24.353,37.048,276.306
1.270,0.699,0.685,-31.799,58.105,290.222
1.200,0.509,0.725,-33.997,73.425,295.959
1.153,0.384,0.728,-26.733,79.102,294.128
1.143,0.300,0.675,-9.583,72.876,287.903
1.117,0.160,0.676,13.855,57.495,284.973
1.098,-0.021,0.725,34.424,43.335,288.086
1.056,-0.256,0.750,42.603,38.940,292.664
0.978,-0.500,0.778,38.940,44.067,295.654
0.871,-0.660,0.791,31.006,52.185,295.471
0.751,-0.777,0.778,29.358,59.326,290.833
0.640,-0.857,0.756,37.109,61.462,281.311
0.585,-0.928,0.716,49.988,54.382,268.738
0.503,-1.057,0.755,66.956,43.274,254.761
0.367,-1.324,0.944,80.933,37.231,245.300
0.251,-1.503,1.057,76.843,43.091,234.680
0.195,-1.571,1.135,57.556,56.274,217.102
0.147,-1.535,1.190,38.818,67.383,199.097
0.144,-1.480,1.172,27.954,71.167,183.167
0.147,-1.500,1.160,25.696,67.627,167.236
0.129,-1.603,1.241,29.175,62.073,152.771
0.134,-1.650,1.299,27.710,61.096,138.245
0.141,-1.704,1.354,20.142,62.988,122.131
0.153,-1.695,1.371,11.292,62.500,106.140
0.202,-1.634,1.398,7.019,57.739,93.506
0.271,-1.584,1.422,8.972,46.082,85.632
0.336,-1.550,1.410,11.169,29.968,80.078
0.336,-1.605,1.440,10.315,16.602,76.172
0.321,-1.640,1.408,5.005,10.986,71.167
0.258,-1.651,1.353,0.427,9.155,61.157
0.138,-1.717,1.382,3.357,7.568,50.354
0.044,-1.760,1.374,8.118,8.057,38.208
-0.030,-1.712,1.340,11.719,9.827,23.499
-0.097,-1.618,1.345,13.062,9.583,10.437
-0.188,-1.558,1.344,11.230,4.761,2.747
-0.197,-1.612,1.368,4.150,-0.732,-0.488
-0.194,-1.449,1.297,-9.949,-15.381,-6.531
-0.279,-1.352,1.239,-24.048,-31.860,-6.226
-0.295,-1.356,1.085,-33.325,-35.828,-5.310
-0.266,-1.338,0.913,-39.001,-31.799,-10.864
-0.271,-1.254,0.778,-39.734,-29.053,-23.621
-0.206,-1.187,0.719,-34.180,-21.423,-38.269
-0.126,-1.092,0.697,-26.672,-13.245,-51.941
-0.036,-0.995,0.730,-21.973,-6.104,-63.354
0.002,-0.869,0.781,-22.034,1.404,-72.571
0.055,-0.771,0.876,-28.870,6.592,-76.416
0.109,-0.726,0.949,-38.757,8.240,-76.904
0.153,-0.676,0.980,-46.692,8.179,-77.881
0.155,-0.609,0.969,-48.279,3.296,-80.444
0.183,-0.625,0.940,-43.091,-9.460,-82.886
0.201,-0.591,0.892,-37.415,-25.696,-87.769
0.208,-0.511,0.817,-33.081,-38.513,-96.619
0.211,-0.395,0.724,-26.367,-41.321,-106.506
0.268,-0.272,0.669,-20.447,-36.682,-112.793
0.361,-0.148,0.699,-18.433,-27.527,-115.479
0.415,-0.026,0.781,-20.203,-14.954,-115.051
0.424,-0.011,0.893,-26.611,-1.099,-111.267
0.489,-0.016,0.961,-37.842,9.705,-108.459
0.565,0.039,0.966,-47.302,11.475,-110.413
-0.031,-0.498,1.246,-11.902,13.000,8.972
-0.016,-0.586,1.271,-17.456,14.343,6.409
0.003,-0.671,1.285,-20.996,12.146,3.723
0.021,-0.758,1.278,-22.156,6.714,1.099
0.033,-0.856,1.264,-22.278,-0.183,-0.793
0.058,-0.940,1.234,-23.499,-7.202,-1.282
0.042,-1.026,1.194,-25.391,-14.832,-1.953
0.018,-1.135,1.179,-27.405,-18.005,-3.662
-0.008,-1.212,1.138,-29.236,-19.653,-9.949
-0.026,-1.201,1.102,-30.762,-22.095,-20.752
-0.081,-1.270,1.103,-28.625,-25.757,-30.212
-0.104,-1.323,1.107,-22.644,-29.480,-42.480
-0.120,-1.386,1.121,-15.747,-32.654,-56.213
-0.146,-1.474,1.170,-10.376,-33.264,-73.975
-0.133,-1.500,1.212,-9.644,-32.898,-96.863
-0.119,-1.470,1.256,-9.827,-35.156,-119.751
-0.134,-1.495,1.343,-5.676,-41.016,-139.282
-0.117,-1.500,1.380,-0.061,-48.218,-161.072
-0.069,-1.431,1.381,6.897,-58.899,-185.669
-0.036,-1.327,1.371,17.090,-73.364,-208.069
0.007,-1.193,1.310,28.687,-86.914,-227.051
0.061,-1.042,1.248,35.583,-94.910,-240.967
0.091,-0.941,1.192,35.706,-99.548,-249.451
0.125,-0.907,1.147,29.175,-94.360,-253.723
0.231,-0.822,1.092,19.897,-83.008,-260.254
0.257,-0.769,1.069,15.930,-69.336,-270.935
0.279,-0.707,1.075,19.836,-58.228,-284.973
0.327,-0.611,1.039,27.649,-54.321,-299.438
0.379,-0.499,0.989,35.522,-56.274,-310.364
0.422,-0.380,0.917,39.063,-58.533,-315.979
0.500,-0.289,0.838,34.668,-57.617,-315.430
0.586,-0.193,0.720,19.226,-53.406,-312.317
0.732,-0.054,0.540,-1.404,-47.852,-309.326
0.873,0.079,0.357,-15.930,-43.030,-305.542
1.050,0.214,0.199,-17.029,-35.278,-302.002
1.325,0.370,0.182,-5.066,-20.020,-299.072
1.564,0.548,0.309,9.949,-2.625,-297.241
1.728,0.793,0.477,22.888,18.616,-296.570
1.905,1.066,0.643,31.006,40.955,-288.635
2.077,1.243,0.882,31.189,53.040,-268.005
2.177,1.355,0.992,20.996,59.326,-242.737
